  0, 47240 , 430000 
  1, 68110 , 430000 
  2, 88980 , 430000 
  3, 109850 , 430000 
  4, 130720 , 430000 
  5, 47240 , 438500 
  6, 68110 , 438500 
  7, 88980 , 438500 
  8, 109850 , 438500 
  9, 130720 , 438500 
 10, 47240 , 447000 
 11, 68110 , 447000 
 12, 88980 , 447000 
 13, 109850 , 447000 
 14, 130720 , 447000 
 15, 47240 , 455500 
 16, 68110 , 455500 
 17, 88980 , 455500 
 18, 109850 , 455500 
 19, 130720 , 455500 
 20, 47240 , 464000 
 21, 68110 , 464000 
 22, 88980 , 464000 
 23, 109850 , 464000 
 24, 130720 , 464000 
 25, 47240 , 472500 
 26, 68110 , 472500 
 27, 88980 , 472500 
 28, 109850 , 472500 
 29, 130720 , 472500 
 30, 47240 , 481000 
 31, 68110 , 481000 
 32, 88980 , 481000 
 33, 109850 , 481000 
 34, 130720 , 481000 
 35, 47240 , 489500 
 36, 68110 , 489500 
 37, 88980 , 489500 
 38, 109850 , 489500 
 39, 130720 , 489500 
 40, 47240 , 498000 
 41, 68110 , 498000 
 42, 88980 , 498000 
 43, 109850 , 498000 
 44, 130720 , 498000 
 45, 47240 , 506500 
 46, 68110 , 506500 
 47, 88980 , 506500 
 48, 109850 , 506500 
 49, 130720 , 506500 
 50, 47240 , 515000 
 51, 68110 , 515000 
 52, 88980 , 515000 
 53, 109850 , 515000 
 54, 130720 , 515000 
 55, 47240 , 523500 
 56, 68110 , 523500 
 57, 88980 , 523500 
 58, 109850 , 523500 
 59, 130720 , 523500 
 60, 20870 , 532000 
 61, 47240 , 532000 
 62, 68110 , 532000 
 63, 88980 , 532000 
 64, 109850 , 532000 
 65, 130720 , 532000 
 66, 20870 , 540500 
 67, 47240 , 540500 
 68, 68110 , 540500 
 69, 88980 , 540500 
 70, 109850 , 540500 
 71, 130720 , 540500 
 72, 20870 , 549000 
 73, 47240 , 549000 
 74, 68110 , 549000 
 75, 88980 , 549000 
 76, 109850 , 549000 
 77, 130720 , 549000 
 78, 20870 , 557500 
 79, 47240 , 557500 
 80, 68110 , 557500 
 81, 88980 , 557500 
 82, 109850 , 557500 
 83, 130720 , 557500 
 84, 20870 , 566000 
 85, 47240 , 566000 
 86, 68110 , 566000 
 87, 88980 , 566000 
 88, 109850 , 566000 
 89, 130720 , 566000 
 90, 20870 , 574500 
 91, 47240 , 574500 
 92, 68110 , 574500 
 93, 88980 , 574500 
 94, 109850 , 574500 
 95, 130720 , 574500 
 96, 20870 , 583000 
 97, 47240 , 583000 
 98, 68110 , 583000 
 99, 88980 , 583000 
100, 109850 , 583000 
101, 130720 , 583000 
102, 20870 , 591500 
103, 47240 , 591500 
104, 68110 , 591500 
105, 88980 , 591500 
106, 109850 , 591500 
107, 130720 , 591500 
The location for the inverter: 20870 , 523500 
